DistName,n_schools,n_students,st_pct_black,st_pct_hisp,st_pct_white,st_pct_native,st_pct_asian,st_pct_pac,st_pct_mult,st_pct_ecodis,st_pct_englishlearners,st_pct_speced,st_pct_bilingual,st_pct_careertech,st_pct_gifted,attendance_rate,ann_dropout_rate,ann_grad_count_1819,avg_sat_1819,avg_act_1819,tot_staff_fte,tot_teach_fte,staff_pct_centraladmin,staff_pct_schooladmin,staff_pct_profsupport,staff_pct_teach,staff_pct_educaides,staff_pct_aux,avg_salary_central,avg_salary_school,avg_salary_prof,avg_salary_teach,staff_pct_minority,stud_teach_ratio,teach_pct_5underexp,teach_avgexp,teach_pct_advdegrees,teach_turnover_rate,teach_pct_black,teach_pct_hisp,teach_pct_white,teach_pct_native,teach_pct_asian,teach_pct_pac,teach_pct_mult,teach_pct_reged,teach_pct_speced,teach_pct_compeduc,teach_pct_esl,taxable_value_per_student_17,local_tax_rate_18,tot_operating_reevenue,rev_pct_state,rev_pct_local,rev_pct_fed,tot_other_rev,fund_balance,net_assets_charter,tot_expend_1819,tot_opexpend_per_student,,exp_pct_basiced,exp_pect_speced,exp_pct_state,exp_pct_esl,exp_pct_cartecheduc,exp_pct_gifted,exp_pct_athletics,exp_pct_hsallotment,exp_pct_kinder,exp_pct_na,district_size,community_type,property_wealth,tax_rate
LOVEJOY ISD,6,4350,3.1,8.6,74.6,0.7,8.2,0,4.7,3.3,0.9,8.7,0.8,33.9,19.7,96.3,0,338,1224,25.6,614.7,292.8,1.5,3,11.2,47.6,6.5,30.3,160903,93063,73863,58959,17.8,14.9,29.5,12,32.3,16.8,1.3,5.1,90.9,0.3,1.7,0,0.7,74.9,8.9,1.5,0,557343,1.67,60445062,16.5,80.2,3.3,13458381,8176250,0,68962521,11434,50.6,44.6,11.9,2.9,0,3.3,4.3,3,0.8,0,29.2,"3,000 to 4,999",Non-metropolitan Stable,"$530,196 to < $559,445",$1.4301 and over
WELLINGTON ISD,3,570,2.8,48.1,47.2,0,0,0,1.9,64.4,8.4,11.4,8.4,24.2,2.1,97.2,1.2,37,.,19.2,104.4,57.5,1.9,1.9,3.8,55.1,14.4,22.9,93703,69500,62084,50957,20.1,9.9,17.4,14.9,13,11,0,3.5,96.5,0,0,0,0,79.9,10.4,3.5,0.2,300027,1.04,7109699,61.7,27.9,10.5,22884,3796056,0,7091722,11743,52.7,40,7.3,9.9,0.5,3.8,0.1,5.3,0.7,1.9,30.5,500 to 999,Rural,"$288,727 to < $317,442",Under $1.1701
COLUMBUS ISD,4,1532,10.6,46.9,39.6,0.1,0.8,0,2.2,61.2,14.5,13.6,14.5,30.3,2.6,95.5,1.2,118,1020,20.1,224.4,120.7,2.2,2.3,6.7,53.8,12.9,22.1,93844,73470,56799,50763,21.3,12.7,28.7,12.8,20.7,9.7,5.5,4.1,90.4,0,0,0,0,81.6,6,5.4,0,706835,1.15,17702369,13,73.9,13.1,1285024,9170962,0,16712557,9926,57.7,37.8,17.3,8.6,0.8,4.2,0.3,4.8,1,2.3,22.9,"1,000 to 1,599",Non-metropolitan Stable,"$697,496 to < $814,022",Under $1.1701
RICE CISD,7,1339,15.9,60,22,0.1,0.7,0,1.4,79.3,10.5,11.3,10.5,23.3,3.8,94.2,1.8,97,1033,17.1,218.3,109.3,1.4,3.9,3.4,50.1,14,27.2,104078,84705,71247,53473,33.9,12.3,28.2,13,17.8,19,7.3,11,80.8,0.9,0,0,0,83.1,9.4,0,0,560717,1.29,17616459,27.1,58,15,2081716,3500000,0,21272411,11184,56.2,34.3,6.2,20.7,0.8,3.6,0.1,3.3,0.4,2.1,28.5,"1,000 to 1,599",Non-metropolitan Stable,"$559,445 to < $636,179",$1.1701 to under $1.3141
WEIMAR ISD,3,676,10.4,43.8,43.5,0.4,0,0,1.9,54.4,18.6,11.7,18.6,28.8,5.5,97,0,49,1006,18.6,112.4,58.6,2.5,2.7,3.7,52.1,17.4,21.7,94980,75513,53011,50882,12.8,11.5,24.1,13.6,16.1,17.2,0,4.9,93.4,0,1.7,0,0,72.5,6.8,7.3,0.4,590920,1.26,8629880,32.4,54.8,12.8,892642,4652866,0,8207667,10957,58.7,38.5,12.6,8.5,0.9,5.1,0.2,4.3,0.9,1.9,26.9,500 to 999,Rural,"$559,445 to < $636,179",$1.1701 to under $1.3141
TRINITY CHARTER SCHOOL,10,408,20.3,34.1,43.4,0.5,0,0,1.7,100,3.9,42.2,3.9,20.8,0,-1,.,.,.,.,102.6,52.5,1.9,3.9,15.6,51.2,12.8,14.6,126512,82829,57404,50488,23.6,7.8,51.5,9,19.1,36,12.3,1.2,84.6,0,1.9,0,0,94.6,0.3,0,0,0,0,8771665,84.5,6.6,8.9,0,0,746456,8731243,19472,64.2,20,41.9,20.5,0.4,1.5,0,0,0.8,0,14.9,Under 500,Charters,Non-taxing entities,Non-taxing entities
NEW BRAUNFELS ISD,15,9521,1.8,47.5,46.4,0.3,1,0,2.9,37.6,9.1,9.9,8.9,22.6,7.9,95.7,1.3,594,1106,23.5,1168.9,551.6,1,3.3,8.9,47.2,11.2,28.5,125985,80528,67177,57054,35.4,17.3,22.8,12.8,22.2,12.9,0.9,19.9,77.8,0.2,0.9,0.2,0.2,76.2,7.1,1.6,0.9,515871,1.366,97565468,18.9,72,9.1,17068434,40142153,0,104861185,8268,54.8,49.3,9.1,5.7,0.4,3.5,0.2,1.8,1.1,2.6,26.3,"5,000 to 9,999",Other Central City,"$483,611 to < $530,196",$1.3141 to under $1.4301
COMAL ISD,32,25011,2.5,40.1,52.1,0.2,1.4,0.1,3.6,30,5.4,11.9,6,30.7,11.5,95.8,0.3,1603,1047,23.4,2939.5,1574.9,1.5,2.8,10.7,53.6,10.7,20.8,85769,76882,64401,55996,27,15.9,27,11.9,24.4,14.5,1.3,17.7,78.9,0.1,0.3,0.1,1.5,76.1,10.3,0.8,0.4,670395,1.39,266126496,9.5,82.9,7.6,56768566,67057090,0,336385543,8781,56.4,50.3,11.4,3.2,0.3,2.5,0.8,2.9,1.3,0.4,27,"25,000 to 49,999",Major Suburban,"$636,179 to < $697,496",$1.3141 to under $1.4301
COMANCHE ISD,4,1389,0.6,51,45.7,0.5,0.3,0,1.8,69.4,14.8,11.5,14.8,26.9,5.1,96.2,0,71,1102,20.7,224.8,109,0.4,2.2,4.6,48.5,17.3,27,119050,79450,56605,48659,30,12.7,24.3,13.7,15.3,17,0,13.8,85.3,0.9,0,0,0,65.2,8,8.4,6.2,260664,1.25,16385183,53.7,34.1,12.2,413433,6053925,0,14457496,9755,60.9,41.6,6.4,13.5,1,3.9,0.2,4.7,2.2,0.3,26.4,"1,000 to 1,599",Non-metropolitan Stable,"$225,013 to < $266,163",$1.1701 to under $1.3141
DE LEON ISD,3,744,0.7,34.7,62.8,0,0.4,0,1.5,61.6,5.6,9.5,5.6,35.5,6,96.5,0,37,-1,20,113.6,56,0.9,2.7,3.5,49.3,17.2,26.5,100000,79378,66015,50555,17.6,13.3,42.9,9.8,10.2,18.4,1.8,7.1,89.3,0,1.8,0,0,80.7,2.7,5.1,1.8,271994,1.235,12216314,49.8,32.6,17.6,2661827,3063196,0,11275611,10318,52.9,31,20.8,9.6,0.2,6.2,0.4,3,0.8,1.7,26.4,500 to 999,Rural,"$266,163 to < $288,727",$1.1701 to under $1.3141
GUSTINE ISD,1,154,0.6,63,35.1,0,0,0,1.3,75.3,32.5,10.4,31.2,45.5,1.9,95.8,0,8,-1,-1,38.7,17.1,2.6,2.6,3.6,44.1,16.2,30.8,114520,87000,53655,43015,18.1,9,64.9,6.4,17.6,34.1,0,0,100,0,0,0,0,83,5.6,2,0,413139,1.244,2956105,46.4,39.1,14.5,561769,572882,0,2447943,15648,43,30.7,5.4,9.4,1,4.3,0.1,6.5,0.9,0.9,40.8,Under 500,Rural,"$407,429 to < $450,515",$1.1701 to under $1.3141
SIDNEY ISD,1,146,0,21.9,77.4,0,0,0,0.7,58.2,0,13,0,41.1,5.5,97.2,0,9,-1,-1,24,13.2,3.7,3.7,0,55.1,12.5,25,70000,67000,.,46702,16.7,11.1,45.5,12.7,7.6,3.2,0,15.2,77.3,7.6,0,0,0,77,8.5,5.4,0,197816,1.11,1913748,69.9,21.5,8.6,153706,358427,0,1864695,11814,55.8,39.2,5.4,11.5,0,4.1,0.3,4.4,1.8,1.2,32.1,Under 500,Rural,"$178,741 to < $225,013",Under $1.1701
EDEN CISD,1,221,0.5,62.4,35.7,0,1.4,0,0,63.8,5.4,20.4,5.4,41.2,1.8,96.2,0,9,-1,19.5,40.4,19.5,2.5,5.3,4.9,48.3,12,27,94500,66908,55443,51651,24.3,11.3,16,15.4,20.8,41.5,0,9.9,90.1,0,0,0,0,82.7,5.5,0,0,626138,1.04,3089789,40.5,53.3,6.2,104057,807338,0,2929181,12799,48,35.3,6.4,13.1,0.4,6.1,0.2,4.2,0.5,0,33.7,Under 500,Rural,"$559,445 to < $636,179",Under $1.1701
PAINT ROCK ISD,5,234,0.4,50,44.4,0,1.7,0,3.4,74.4,5.1,17.1,7.7,27.4,5.1,94.9,0,16,890,-1,42.4,23.8,2.1,2.5,1.9,56.1,14.1,23.4,108000,59673,54540,49930,11.8,9.8,25.2,17.4,30.6,42.6,0,8.4,91.6,0,0,0,0,72.1,8.4,4.2,0,326861,1.43,4863544,59.1,34.9,6.1,1262080,525873,0,3914393,13552,45.4,33.7,3.5,7.2,0.5,4.9,0.2,5.1,0.5,1.1,43.4,Under 500,Rural,"$317,442 to < $337,807",$1.3141 to under $1.4301
GAINESVILLE ISD,5,3032,5.8,58.4,30.5,0.4,0.8,0,4,76.6,25.7,9.1,25.2,31.2,4.8,94.9,1.7,196,1027,18.7,403,214,3.2,3.1,11,53.1,9.1,20.5,90717,75404,59450,52553,19.7,14.2,47.8,9.8,21,27.6,3.3,10.8,82.9,0,1.2,0,1.9,78.8,6.7,0,6.4,319380,1.27,37065856,45.7,39.9,14.4,1305226,15587879,0,34288366,9551,54.3,41.8,10.7,12.8,1.8,4.2,0.6,3.1,1.2,0,23.9,"3,000 to 4,999",Independent Town,"$317,442 to < $337,807",$1.1701 to under $1.3141
MUENSTER ISD,2,518,0.4,4.6,90.7,0.4,0.8,0.2,2.9,17,0.8,13.5,0.8,39.8,4.6,97.4,0,32,1142,23.2,67.6,43.5,1.5,4.4,8.2,64.3,8.7,12.8,114850,86256,54577,49489,1.5,11.9,18.7,14.2,5.7,13,0,0,95.4,0,2.3,0,2.3,89.5,2.6,0,0,598681,1.395,7801194,28.7,68.4,2.8,1602716,3010949,0,7904876,12200,46.3,43.1,6.8,2.2,0,4.2,0.2,19.2,0.8,0.2,23.2,500 to 999,Rural,"$559,445 to < $636,179",$1.3141 to under $1.4301
VALLEY VIEW ISD,3,877,0.2,31.5,65.6,0.6,0,0.1,2.1,49.1,15.6,11.6,20.9,35,5.4,96.5,0,53,1101,19.8,125.3,59.2,1.7,4.2,7.3,47.2,10.1,29.5,116975,80505,63563,53635,15.5,14.8,26.2,15,11,10.9,0,4.9,91.8,3.3,0,0,0,79.2,4.4,3.3,3.3,294959,1.38,10199132,56.8,38.2,5,851460,2912322,0,9114149,9257,51,42.4,3.7,6.8,1.2,5,0.3,5.3,0.4,0.5,34.6,500 to 999,Rural,"$288,727 to < $317,442",$1.3141 to under $1.4301
CALLISBURG ISD,4,1157,1,13.3,82.4,1,0.2,0,2.2,45.7,3,12.5,2.9,31.1,4.2,96.5,0.3,84,1050,17.7,146.9,84.1,0.7,3.8,1.9,57.2,8.5,27.9,137700,74454,64764,53809,7,13.8,14.2,16.7,22.4,18.7,1.2,2.3,95.3,0,0,0,1.2,82.5,6.2,0,0,541818,1.208,15052936,33.6,56.3,10.1,1248081,3440509,0,14130488,11040,53,37.3,19.2,7.9,0.4,3.4,0.4,4,1,0.3,26.3,"1,000 to 1,599",Non-metropolitan Stable,"$530,196 to < $559,445",$1.1701 to under $1.3141
ERA ISD,1,477,0,11.5,84.7,0.8,0.2,0,2.7,30.6,1.3,11.1,1.3,33.5,7.1,97,0,34,-1,21.6,56.2,38.5,3.4,1.8,9.9,68.6,7.9,8.5,103245,80541,63577,51149,5.3,12.4,23.4,16.5,27.1,13.7,0,5.2,92.2,2.6,0,0,0,82.3,4.7,2.6,0,298271,1.21,5812503,56.8,38.6,4.7,339344,1017567,0,5643488,10377,50.2,43.7,3.7,5,0,4.9,0.4,5.6,1.2,0,35.7,Under 500,Rural,"$288,727 to < $317,442",$1.1701 to under $1.3141
LINDSAY ISD,2,509,0.6,2.8,92.5,1.2,1.6,0,1.4,11.8,0,9.6,0.2,47.5,7.3,97.7,0,36,1111,24,66.2,40.9,3,3.5,8.2,61.8,7.6,15.9,92724,81942,56127,49287,0,12.4,26.4,15,19.1,16,0,0,97.6,0,0,0,2.4,79.5,4.2,2.4,0,892644,1.04,5727440,9.1,88,2.9,3239,4256587,0,5447468,9781,51.3,48.2,2.7,2.7,0,6.1,0.3,6.8,1,0,32.1,500 to 999,Rural,"$847,341 and over",Under $1.1701
WALNUT BEND ISD,1,68,0,30.9,69.1,0,0,0,0,72.1,4.4,4.4,4.4,0,0,96.4,.,.,.,.,14.5,5.8,3.5,3.5,6.7,40.4,32.3,13.6,86200,86200,29785,36643,23,11.6,50,5.8,0,33.3,0,0,100,0,0,0,0,91.9,0,8.1,0,158108,1.04,1000248,72.7,18.2,9.1,16749,694838,0,950053,12026,51.5,43.1,7.4,12.8,0.2,0,0.2,0.6,0,0,35.7,Under 500,Rural,"$131,514 to < $178,741",Under $1.1701
SIVELLS BEND ISD,1,75,1.3,9.3,70.7,6.7,0,0,12,60,0,9.3,0,0,0,95.4,.,.,.,.,12.1,7.3,2.7,2.7,0,60.5,9.3,24.7,97501,97501,.,50602,8.2,10.2,40.9,10.6,31.8,26.2,0,0,86.4,0,13.6,0,0,90,3.2,6.8,0,1836816,1.04,1107579,5.3,87.8,6.9,9872,423910,0,989666,14078,51.7,41.7,7.7,7.2,0,0,0,0.8,0,3.5,39.2,Under 500,Rural,"$847,341 and over",Under $1.1701
EVANT ISD,2,249,1.6,23.3,73.1,0,0,0,2,63.9,9.2,12.4,9.2,30.1,3.2,96.5,0,18,-1,19.1,51.6,23.1,2.9,1.9,7.5,44.8,19.3,23.5,99777,77229,55601,47616,9.7,10.8,43.8,11.2,17.3,30.2,0,8.7,91.3,0,0,0,0,80.9,6.4,4.3,0,416628,1.04,3063270,45,38.2,16.8,45000,518887,0,3645469,15196,52.2,35,3.5,15.6,0,3.1,0.1,3.8,1.9,0.8,36.3,Under 500,Rural,"$407,429 to < $450,515",Under $1.1701
GATESVILLE ISD,5,2778,2.8,22.8,68.4,0.4,0.7,0,4.9,52.9,3.7,11.9,3.7,29,8.6,94.8,0.5,204,1096,20.8,409.3,199.5,1,2.7,9.4,48.7,12.1,26,105884,73751,57662,48090,11.7,13.9,31.1,11.5,18.8,17.9,1.5,8,89.5,0,0,0,1,70.1,9.9,9.3,0.8,274555,1.177,27474200,52.6,36.1,11.3,1427341,6811621,0,28534049,9433,53.6,40.6,16.2,6.9,0.2,3.8,0.3,3.8,1.5,0,26.7,"1,600 to 2,999",Other Central City Suburban,"$266,163 to < $288,727",$1.1701 to under $1.3141
OGLESBY ISD,1,164,0,29.3,65.2,0.6,0,0,4.9,59.1,5.5,6.7,5.5,32.3,0,96.5,0,14,985,.,31.5,19.2,2.8,3.2,0,61,4.8,28.2,90000,69000,.,44542,9,8.5,45.5,8.7,16.8,20.6,0,1.7,98.3,0,0,0,0,80.5,1.3,0.6,0,363134,1.17,2184820,49.9,39.3,10.8,22905,1804322,0,2161968,12696,50.9,39.8,1.9,6.7,0.2,6.4,0,5.5,0.8,2.1,36.5,Under 500,Rural,"$360,988 to < $382,055",Under $1.1701
JONESBORO ISD,1,349,0.6,11.5,85.1,0,0.6,0,2.3,56.2,0,11.5,0,38.4,0.9,96.4,0,13,897,21.2,49.1,26.9,3.3,0.2,2.9,54.7,16.3,22.6,77456,69000,56098,50505,8.1,13,23.2,12.8,11.3,17.4,3.7,7.4,88.8,0,0,0,0,87.3,3.8,1.3,0,232380,1.246,3771222,67.3,27.2,5.5,117903,1031185,0,3367956,8897,52.5,38.3,6.3,8.1,0,6.5,0.8,5.6,0.8,1.4,32.2,Under 500,Independent Town,"$225,013 to < $266,163",$1.1701 to under $1.3141
COPPERAS COVE ISD,11,8467,18.3,27.9,39.1,0.5,1.5,2.6,10.2,55.9,5.2,11.6,5.2,25.7,5.2,95,1.6,532,1049,20.6,1240.6,552.4,0.7,2.4,6.7,44.5,14,31.7,104696,79563,62934,51908,32.7,15.3,59.4,7.5,22.5,25.8,15.1,13.9,65.5,0.2,1.8,0.2,3.2,76.7,8.5,3.5,2.6,164833,1.22,87369440,56.5,22.6,21,1648219,66621932,0,85693983,9152,55,44.9,13.3,7.4,1.6,3.5,0.2,3.4,0.8,0.4,24.5,"5,000 to 9,999",Other Central City Suburban,"$131,514 to < $178,741",$1.1701 to under $1.3141
PADUCAH ISD,1,200,11,47,38,1,0,0,3,68,0.5,16.5,0.5,54.5,7,96.1,0,18,-1,19.9,37.3,20.5,2.7,2.7,2.7,54.9,13,24,90000,67795,63768,51927,10.4,9.8,23.7,14.4,14.4,28.5,0,0,100,0,0,0,0,68.5,8.7,4.7,0,719543,1.04,3068855,36.5,55,8.5,3370,1881761,0,2803033,13325,53.5,27,7,13.7,0,9.5,0.5,4.3,2.7,1.2,34,Under 500,Rural,"$697,496 to < $814,022",Under $1.1701
CRANE ISD,3,1173,1.8,78.9,18.2,0.2,0.6,0,0.4,43.5,20,9,19.3,26.6,6.6,95.4,1.4,86,969,17.8,162,88.5,2.5,3.8,7.9,54.6,13.9,17.4,105719,79014,70895,57936,49.5,13.3,31.3,13.4,21,20.4,2.2,29.2,65.2,0,1.1,0,2.3,67.2,10.8,6.5,4.2,735200,1.11,16338347,22.8,72.2,5,630807,9468879,0,14993625,12592,53.3,45.6,10,3.7,2.6,2.2,0.3,5.5,0,2.3,27.9,"1,000 to 1,599",Other Central City Suburban,"$697,496 to < $814,022",Under $1.1701
CROCKETT COUNTY CONSOLIDATED CSD,3,810,0.4,75.4,22.5,0.9,0.5,0,0.4,46.8,16.7,8.5,16.7,39.1,6.3,95.8,0,42,-1,17.3,130.7,66.5,2.1,2.3,4.5,50.9,16.7,23.5,94054,79833,56608,52140,51.3,12.2,33.8,14.1,20.2,23.3,0,29,71,0,0,0,0,78.6,8.7,0,1.5,1568937,1.204,14092846,8.6,85.7,5.7,4167595,2746690,0,13572410,11988,54.7,41.2,6.1,7.8,1.7,3.8,0.5,4.2,2.3,1.4,31.1,500 to 999,Rural,"$847,341 and over",$1.1701 to under $1.3141
CROSBYTON CISD,4,331,3.9,73.1,22.7,0,0,0,0.3,80.4,1.5,12.7,1.5,28.1,5.4,95.8,0,30,-1,18,66.4,35.3,3,2.7,3.3,53.2,16.1,21.7,101945,79910,50913,52122,43,9.4,44.3,10.8,17.4,36.6,0,25.1,74.9,0,0,0,0,91.9,0,1.5,0,266162,1.36,6833217,53.3,32.5,14.2,638002,2533096,0,10669465,13658,52.2,34.3,5.9,7.2,0.1,4,0.4,4.6,0.6,1.7,41.4,Under 500,Rural,"$225,013 to < $266,163",$1.3141 to under $1.4301
LORENZO ISD,1,242,4.1,80.6,13.2,0,0,0,2.1,82.2,6.2,14.5,6.2,36.8,1.7,94.7,0,11,-1,-1,66.5,25.2,3,4.5,5.4,37.9,27,22.3,87881,64230,64816,49242,49.5,9.6,29.4,14.6,12.7,25.6,4,8.7,83.3,0,0,0,4,71.7,11.9,4,0,561743,1.027,5874498,23.1,51,25.9,90714,2448013,0,5597064,19840,50.9,24.4,29.9,12.5,0,5,0,2.8,1.2,0,24.3,Under 500,Rural,"$559,445 to < $636,179",Under $1.1701
RALLS ISD,4,496,1.4,76.8,20.8,0,0.4,0,0.6,82.1,3,11.3,3,27.8,1.4,95.2,0.7,33,-1,22,89.9,50.1,2.2,4.4,1.1,55.7,18.8,17.8,111582,79650,63471,47278,34.5,9.9,32,10.6,12.6,34.8,4,19.5,76.5,0,0,0,0,69.7,7.4,13.8,0,242149,1.04,6886864,63.4,23.8,12.9,0,2014312,0,7120754,12951,50.6,35.1,4.5,17.4,0.5,3.2,0,3.6,0.7,0.8,34.2,Under 500,Rural,"$225,013 to < $266,163",Under $1.1701
CULBERSON COUNTY-ALLAMOORE ISD,1,386,0.3,85.8,11.1,0.8,1.6,0.3,0.3,78.5,7.8,8.8,7.5,47.4,6,93.4,0.9,27,878,18.3,72.9,35.3,1.4,1.4,7.1,48.4,0,41.7,115000,90502,49002,52836,77.5,10.9,28.2,15,13.2,11.9,2.8,69.3,27.9,0,0,0,0,80.9,6.2,2.8,0,3848701,1.497,18082670,2.8,86.8,10.4,10019340,0,0,8678201,15272,44.9,25,6.6,15,0.3,3.6,1.5,6.3,0.8,1.3,39.6,Under 500,Rural,"$847,341 and over",$1.4301 and over
DALHART ISD,4,1681,1.3,63.5,33.4,0.4,0.2,0,1.1,67.7,22.1,8.8,22.1,27,3.7,95,0,111,-1,19.9,218.4,125.7,2.7,3.4,4.5,57.6,19.4,12.4,95245,75379,60276,48665,27.4,13.4,31.1,13,17.4,17.9,0.8,9.8,89.4,0,0,0,0,78.1,7.5,4.1,1.5,660552,1.125,17724957,12.3,75.6,12.1,1094153,5871319,0,17417109,9214,56.6,43.1,9.4,9.1,0.9,4.2,0.2,3.1,1.8,1.2,27.2,"1,600 to 2,999",Non-metropolitan Stable,"$636,179 to < $697,496",Under $1.1701
TEXLINE ISD,1,190,0.5,52.1,45.3,0.5,0,0,1.6,63.2,20,7.4,21.6,33.7,3.7,96.1,0,13,.,18.8,31.2,18.3,2.1,3.2,3.2,58.7,11.8,21,88000,68500,46666,47725,15.4,10.4,38.2,10.6,4.6,22.6,0,10.9,89.1,0,0,0,0,78.7,6.6,4.4,0,992063,1.248,2403313,2.3,87.5,10.2,161009,1956573,0,2578190,13425,55.6,37,7.5,14.6,0.1,4.7,0,1.7,0,0.5,33.9,Under 500,Rural,"$847,341 and over",$1.1701 to under $1.3141
PEGASUS SCHOOL OF LIBERAL ARTS AND,1,625,34.4,58.7,3.5,0.2,0.3,0,2.9,76.5,24.8,10.7,24.5,0,0,95.2,0,24,941,-1,60.3,36.9,1.1,9.3,6.9,61.2,5,16.6,141200,83765,71117,54732,56.3,16.9,65.9,6,28,42.8,22.6,22.3,52.4,0,2.7,0,0,100,0,0,0,0,0,7550163,86.6,0.5,12.9,0,0,944367,6995351,10348,45,38.7,5.8,15.1,1.3,0,0,0.9,0.3,0,37.9,500 to 999,Charters,Non-taxing entities,Non-taxing entities
UPLIFT EDUCATION,38,20067,20.6,67.9,3.2,0.2,6.3,0,1.9,80,31.5,7.7,31.9,23.2,0,96.4,0.4,846,1094,20,2317.4,1279.8,1.6,6.1,17.8,55.2,11,8.3,108190,77616,57661,56749,65.5,15.7,78.5,3.8,29.2,28.1,32.3,20.4,40.6,0.2,3.4,0,3,90.9,6.2,0,1.3,0,0,208858304,83.5,5.9,10.7,0,0,17240539,199718819,9895,52.6,48.9,8.6,9.8,1.5,2.3,0,0.2,0.7,0.3,27.8,"10,000 to 24,999",Charters,Non-taxing entities,Non-taxing entities
TEXANS CAN ACADEMIES,13,5268,28.2,65.9,3.3,0.2,0.3,0,2.1,86.7,26.4,7.6,22.3,34.1,0,88.8,22.7,1476,826,14.9,578.7,255.4,2.9,6.3,24.3,44.1,0,22.3,97138,81135,56823,55516,81.4,20.6,63.4,5,25.2,33.3,53.1,19.2,20.9,0.4,3.9,2.5,0,72.9,17.4,0,0,0,0,67038440,79.2,4.6,16.2,3980922,0,38486952,57552842,11251,33.8,30.4,10.7,18.3,3,2.8,0,0.1,2,0,32.8,"5,000 to 9,999",Charters,Non-taxing entities,Non-taxing entities
LUMIN EDUCATION,1,308,6.2,69.8,19.5,0.3,1.3,0,2.9,59.4,38,9.4,37.7,0,0,94.8,.,.,.,.,46.1,15.5,1.1,6.5,25.1,33.7,18.3,15.3,106018,60668,62807,45182,67.2,19.8,78.7,5.4,25.8,37.9,6.4,45.1,29.1,6.4,12.9,0,0,71,6.4,22.6,0,0,0,3940346,53.4,39.9,6.7,0,0,637206,3823891,12919,45.3,23.8,9.4,20.4,3.9,0,0,0,0,0,42.6,Under 500,Charters,Non-taxing entities,Non-taxing entities
ADVANTAGE ACADEMY,1,1396,29.8,58,9.5,0.1,1.4,0,1.2,77.9,24.7,5.7,21.6,31.7,1.9,95.3,1.5,29,1078,-1,141.7,70.8,4.2,4.2,16.3,50,2.8,22.5,85833,74250,53812,47607,64.7,19.7,66.9,5.3,48,68.8,55.1,9.5,35.4,0,0,0,0,87.4,2.8,0.8,0,0,0,15916332,90.4,2.7,6.9,0,0,485409,15390343,8464,44.2,33.1,5.5,18,1,2.7,0,0.6,0,1.7,37.5,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
LIFE SCHOOL,8,5602,45.8,38.5,12.6,0.2,0.2,0,2.7,64.3,9.6,11.1,9.4,24.5,4.6,96.5,0.1,323,978,18.8,652.6,356.6,1.8,3.6,15.9,54.6,11.6,12.4,140732,68628,63370,53097,41.4,15.7,54.7,7.3,27.6,23.9,23.1,12.9,60.2,0.6,1.1,0,2.2,77.1,8.8,0.3,1.1,0,0,61471406,88.8,3.4,7.7,0,0,1330294,59637460,9768,50,42.7,9.6,7.2,0.5,3.6,0.3,3.6,1.9,0,30.8,"5,000 to 9,999",Charters,Non-taxing entities,Non-taxing entities
UNIVERSAL ACADEMY,2,2281,18.5,23.5,1.6,0.4,54.8,0,1.1,31.7,34.9,2.6,33.9,6.2,5.7,96.5,0,19,933,-1,218.6,143.9,2.3,5.3,6.1,65.8,7.5,13,153477,65863,53796,53580,65.8,15.9,89.2,2.9,8.3,28.6,34.4,9.7,42,0,13.2,0,0.7,83.8,2.1,0,6.6,0,0,19451931,90.1,4.9,5,0,0,462693,19277335,8334,53.5,59.7,3.4,4.1,2,0,0.4,0.6,0.8,1.3,27.8,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
NOVA ACADEMY,1,136,72.8,23.5,2.2,0,0,0,1.5,99.3,16.9,2.9,15.4,0,0,95.6,.,.,.,.,16.6,7.9,0,10.9,12.1,47.6,11.4,18,.,69534,40698,47867,88,17.3,52.7,8.5,12.6,50.5,62.2,0,25.2,12.6,0,0,0,100,0,0,0,0,0,1299757,87.4,0.8,11.8,0,0,440809,1271850,9381,48.9,37.5,2,16.6,1.6,0,0,0,0,3.9,38.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
ACADEMY OF DALLAS,1,480,72.3,25.8,0.4,0,0,0,1.5,100,11,5.2,9.8,0,0,93.9,.,.,.,.,39.5,23.4,2.5,7.6,12.8,59.2,10.3,7.6,85000,44000,33055,37267,97.5,20.6,48.2,8.8,19,67.5,100,0,0,0,0,0,0,90.1,9.9,0,0,0,0,5001483,80.6,1.6,17.8,0,0,149337,4859433,9978,47,41.4,4.5,8.2,1.7,0,0,1,0,5,38.3,Under 500,Charters,Non-taxing entities,Non-taxing entities
TRINITY BASIN PREPARATORY,2,3842,9.2,87.7,1,0.1,1.5,0,0.5,90.4,58,8.9,57.5,0,0,95.9,.,.,.,.,457.2,229.1,1.5,3.4,10.9,50.1,16.5,17.5,126893,77097,62473,55175,50.8,16.8,62.9,6.1,12.7,22.2,12.3,10.3,73.1,0.4,1.7,0,2.1,89.2,8.8,0,2,0,0,37343541,88.2,1.1,10.6,9885,0,3463631,32541334,8902,61.4,62.4,7.4,2.9,0.9,0,0,0,0,0.3,26.1,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
